DAY,AGP,BGP,BLD,BLS,BSH,CHM,DAN,DDM,EBB,GEM,GIN,GNL,GRV,HHM,HNT,HRS,KIB,KSP,LBD,LVM,LVT,MHP,MNT,PDS,PSN,PSR,RCK,SLI,SLK,SLM,SPS,SPT,STR,SWM,TMR,TNY,TUM,UBC,VLC,VRG,WWC
1,40.894,0,9.144,0,43.434,0,25.4,13.208,17.78,28.702,0,12.192,0,20.32,0,0,0,0,0,0,40.64,51.816,5.08,0,0,0,0,0,0,0,0,0,0,24.384,13.208,27.94,24.384,48.514,33.274,0,0
2,40.894,0,9.144,0,43.434,0,25.4,7.112,10.16,28.702,0,15.24,0,20.32,0,0,0,0,0,0,40.64,51.816,5.08,0,0,0,0,0,0,0,0,0,0,24.384,13.208,27.94,21.336,48.514,33.274,0,0
3,40.894,0,9.144,0,43.434,0,25.4,0,2.54,28.702,0,15.24,0,20.32,0,0,0,0,0,0,40.64,51.816,5.08,0,0,0,0,0,0,0,0,0,0,24.384,10.16,27.94,21.336,48.514,33.274,0,0
4,40.894,0,9.144,0,43.434,0,25.4,0,0,28.702,0,15.24,0,6.858,0,0,0,0,0,0,40.64,51.816,5.08,0,0,0,0,0,0,0,0,0,0,24.384,10.16,27.94,21.336,48.514,33.274,0,0
5,40.894,0,9.144,0,43.434,0,25.4,0,0,28.702,0,15.24,0,6.858,0,0,0,0,0,0,40.64,51.816,5.08,0,0,0,0,0,0,0,0,0,0,24.384,7.112,27.94,21.336,48.514,33.274,0,0
6,40.894,0,9.144,0,43.434,0,28.702,0,0,28.702,0,15.24,0,0,0,0,0,0,0,0,40.64,48.768,5.08,0,0,0,0,0,0,0,0,0,0,24.384,0,27.94,21.336,48.514,33.274,0,0
7,40.894,0,9.144,0,43.434,0,30.48,0,0,28.702,0,15.24,0,0,0,0,0,0,0,0,40.64,42.672,5.08,0,0,0,0,0,0,0,0,0,0,24.384,0,27.94,18.288,48.514,33.274,0,0
8,40.894,0,9.144,0,43.434,0,22.098,0,0,28.702,0,15.24,0,0,0,0,0,0,0,0,35.56,36.576,5.08,0,0,0,0,0,0,0,0,0,0,24.384,0,27.94,18.288,48.514,16.51,0,0
9,24.384,0,9.144,0,43.434,0,25.654,0,0,28.702,0,15.24,0,0,0,0,0,0,0,0,35.56,33.528,5.08,0,0,0,0,0,0,0,0,0,0,24.384,0,27.94,18.288,48.514,16.51,0,0
10,24.384,0,6.096,0,43.434,0,29.21,0,0,28.702,0,12.192,0,0,0,0,0,0,0,0,38.1,30.48,5.08,0,0,0,0,0,0,0,0,0,0,24.384,0,27.94,18.288,48.514,33.274,0,0
11,24.384,0,9.144,0,43.434,0,25.908,0,0,28.702,0,12.192,0,0,0,0,0,0,0,0,40.64,30.48,5.08,0,0,0,0,0,0,0,0,0,0,24.384,0,27.94,18.288,48.514,33.274,0,0
12,24.384,0,9.144,0,43.434,6.096,30.988,0,0,28.702,6.096,18.288,0,6.858,6.096,0,30.226,0,0,0,55.88,30.48,7.62,0,0,6.096,0,0,0,12.192,0,0,0,24.384,7.112,27.94,15.24,65.024,33.274,0,0
13,24.384,0,30.48,14.732,43.434,33.528,50.8,16.256,20.32,45.212,33.528,39.624,12.192,27.178,30.48,18.034,46.736,0,0,0,78.74,48.768,7.62,0,0,27.432,0,34.544,0,33.528,0,0,16.002,24.384,28.448,60.96,36.576,81.534,49.784,0,0
14,24.384,0,33.528,14.732,43.434,36.576,50.8,16.256,20.32,45.212,33.528,45.72,15.24,30.48,30.48,18.034,46.736,0,0,0,81.28,48.768,0,0,0,27.432,0,34.544,0,36.576,0,0,32.512,24.384,31.496,60.96,36.576,81.534,49.784,0,0
15,40.894,0,30.48,14.732,43.434,36.576,53.34,16.256,20.32,45.212,33.528,51.816,15.24,30.48,30.48,18.034,46.736,0,0,0,81.28,48.768,0,0,0,24.384,0,17.78,0,36.576,0,0,32.512,24.384,31.496,60.96,36.576,81.534,49.784,0,0
16,40.894,0,30.48,14.732,43.434,36.576,53.848,16.256,17.78,45.212,30.48,51.816,12.192,33.782,30.48,18.034,46.736,0,0,0,81.28,48.768,0,0,0,24.384,0,17.78,0,33.528,0,0,32.512,24.384,28.448,60.96,39.624,81.534,49.784,0,0
17,40.894,0,30.48,14.732,43.434,36.576,54.864,13.208,17.78,45.212,30.48,51.816,12.192,30.48,30.48,18.034,30.226,0,0,0,81.28,48.768,0,0,0,21.336,0,0,0,30.48,0,0,32.512,24.384,25.4,60.96,39.624,81.534,49.784,0,0
18,40.894,0,30.48,14.732,59.944,36.576,55.118,10.16,10.16,45.212,30.48,51.816,12.192,30.48,30.48,18.034,30.226,0,0,0,78.74,48.768,0,0,0,18.288,0,34.544,0,18.288,0,0,32.512,24.384,22.352,60.96,39.624,81.534,49.784,0,0
19,40.894,0,30.48,14.732,59.944,36.576,53.594,10.16,0,45.212,30.48,51.816,12.192,30.48,30.48,51.308,30.226,0,0,0,76.2,48.768,0,25.4,0,9.144,0,34.544,0,15.24,0,0,32.512,24.384,22.352,60.96,42.672,81.534,49.784,0,0
20,24.384,0,30.48,11.684,59.944,36.576,52.324,7.62,0,45.212,27.432,51.816,6.096,30.48,30.48,51.308,30.226,0,0,0,78.74,48.768,0,25.4,0,9.144,0,34.544,0,15.24,0,0,32.512,24.384,22.352,60.96,42.672,81.534,49.784,0,0
21,24.384,0,30.48,11.684,59.944,36.576,54.102,7.62,0,45.212,27.432,51.816,6.096,27.178,30.48,51.308,30.226,0,0,0,81.28,45.72,0,25.4,0,6.096,0,34.544,0,15.24,0,0,32.512,24.384,22.352,60.96,39.624,98.044,66.294,0,5.08
22,40.894,30.226,54.864,5.588,59.944,36.576,101.6,37.592,45.72,45.212,24.384,79.248,0,74.422,27.432,84.328,30.226,1.27,5.08,0,152.4,60.96,7.62,76.2,2.54,6.096,0,84.328,0,0,0,0,82.296,40.894,22.352,76.2,54.864,114.554,99.568,5.08,5.08
23,40.894,30.226,67.056,2.54,76.454,36.576,116.586,55.88,58.42,78.486,18.288,100.584,6.096,101.6,21.336,84.328,30.226,16.51,15.24,0,172.72,82.296,20.32,76.2,7.62,6.096,0,100.838,1.524,85.344,0,0,82.296,40.894,22.352,93.98,60.96,114.554,116.078,15.24,7.62
24,57.658,30.226,67.056,2.54,76.454,36.576,122.682,61.976,66.04,78.486,15.24,100.584,6.096,108.458,21.336,84.328,30.226,19.558,17.78,0,187.96,82.296,20.32,76.2,10.16,6.096,0,100.838,7.62,94.488,5.08,0,99.06,40.894,22.352,93.98,57.912,114.554,116.078,17.78,5.08
25,107.442,80.01,100.584,14.732,76.454,70.104,186.944,107.696,127,161.544,45.72,173.736,12.192,176.022,39.624,134.366,46.736,89.662,63.5,15.24,261.62,149.352,66.04,127.762,45.72,33.528,13.208,150.622,50.292,146.304,40.64,7.62,132.08,74.168,49.784,160.02,100.584,180.848,165.862,63.5,68.58
26,107.442,80.01,100.584,17.78,76.454,73.152,188.214,107.696,129.54,161.544,45.72,176.784,15.24,176.022,42.672,134.366,46.736,98.806,63.5,15.24,261.62,155.448,66.04,127.762,45.72,33.528,13.208,150.622,50.292,146.304,43.18,7.62,148.844,90.678,52.832,160.02,103.632,180.848,165.862,63.5,71.12
27,107.442,80.01,97.536,17.78,76.454,73.152,189.23,104.648,129.54,161.544,45.72,176.784,15.24,186.182,42.672,134.366,46.736,98.806,63.5,15.24,261.62,155.448,63.5,127.762,45.72,33.528,13.208,167.386,50.292,149.352,48.26,7.62,165.354,90.678,52.832,160.02,103.632,180.848,165.862,63.5,71.12
28,107.442,80.01,97.536,17.78,76.454,73.152,188.214,104.648,134.62,161.544,45.72,176.784,15.24,189.484,42.672,134.366,46.736,98.806,63.5,15.24,261.62,158.496,63.5,127.762,43.18,33.528,16.256,167.386,50.292,152.4,53.34,10.16,165.354,90.678,52.832,160.02,103.632,180.848,165.862,68.58,68.58
29,140.462,96.52,112.776,39.116,126.238,97.536,231.14,132.08,180.34,194.564,70.104,198.12,45.72,240.284,67.056,184.15,80.01,123.19,73.66,20.32,320.04,201.168,78.74,161.036,76.2,48.768,31.496,183.896,65.532,195.072,78.74,27.94,181.864,107.188,71.12,193.04,134.112,213.868,199.136,93.98,96.52
